,Unnamed: 0,Unnamed: 0.1,Marca de temps,Language,How old are you?,Do you share your flat?,How many people do live in the house? ,What kind of animals live in the house?,What kind of relationship do you have with your flatmates?,How satisfied are you with the cleanliness of the house?,Do you outsource the house tasks?,Which tool do you use to schedule your tasks?,How often do you rotate the home tasks?,What kind of tasks are you responsible of?,"How do you deal with the shared expenses? (toilet paper, cleaning products, etc)",Do you rather cleaning alone or all together?,Would you use an app to manage the house tasks?,How likely you are to use this features? [Setting up tasks/shifts/house rules],How likely you are to use this features? [Tracking common expenses],How likely you are to use this features? [Receiving reports of each roommate's contribution],How likely you are to use this features? [Receiving notifications / reviewing task calendar],How likely you are to use this features? [Managing shopping list for household products]
67,67,67,18/01/2021 23:25:07,English,31–37,No,,,,,,,,,,,,,,,,
68,68,68,18/01/2021 23:26:29,English,31–37,Yes,4,No pets,"Friends, Family",4.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Buying common items",Split the cost,Alone,No,,,,,
69,69,69,18/01/2021 23:26:44,English,25–30,Yes,2,No pets,Partner,3.0,No,We don't schedule our tasks,Never,"Cleaning living-room, Cleaning kitchen",Split the cost,All together,No,,,,,
70,70,70,18/01/2021 23:27:10,English,25–30,No,,,,,,,,,,,,,,,,
71,71,71,18/01/2021 23:27:24,English,More than 37,No,,,,,,,,,,,,,,,,
72,72,72,18/01/2021 23:30:32,English,25–30,Yes,2,No pets,"Friends, Family",3.0,No,We just remember,Twice a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Laundry",Buy it in turns,Alone,No,,,,,
73,73,73,18/01/2021 23:30:32,English,31–37,Yes,2,No pets,"Friends, Family",3.0,No,We just remember,Never,"Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",We don't really think about it,Alone,No,,,,,
74,74,74,18/01/2021 23:31:15,English,25–30,Yes,2,No pets,"Friends, Family",5.0,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
75,75,75,18/01/2021 23:33:05,English,More than 37,Yes,3,Dogs,"Friends, Family",3.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Laundry",Buy it in turns,All together,Yes,Very unlikely,Unlikely,Very unlikely,Unlikely,Very unlikely
76,76,76,18/01/2021 23:34:52,English,31–37,Yes,2,No pets,Partner,4.0,No,We don't schedule our tasks,Once a week,"Cleaning bathroom/toilets, Throwing the garbage, Laundry, Buying common items",Split the cost,All together,Yes,Neutral,Neutral,Neutral,Neutral,Neutral
77,77,77,18/01/2021 23:35:57,English,31–37,No,,,,,,,,,,,,,,,,
78,78,78,18/01/2021 23:37:54,English,18–24,Yes,3,No pets,People I met on app,3.0,No,Spreadsheet,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen",Split the cost,Alone,Yes,Likely,Likely,Likely,Very likely,Very likely
79,79,79,18/01/2021 23:41:11,English,31–37,Yes,3,No pets,"Friends, Family",4.0,No,Spreadsheet,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
80,80,80,18/01/2021 23:49:38,English,More than 37,Yes,2,No pets,"Friends, Family",5.0,Yes,,,,,,,,,,,
81,81,81,18/01/2021 23:50:11,English,25–30,Yes,2,No pets,"Friends, Family",4.0,No,We just remember,Twice a week,"Cleaning living-room, Cleaning kitchen, Throwing the garbage, Buying common items",We don't really think about it,Alone,Yes,Likely,Very likely,Very likely,Very likely,Very likely
82,82,82,18/01/2021 23:52:55,English,18–24,Yes,3,No pets,"Friends, Family",3.0,Yes,,,,,,,,,,,
83,83,83,19/01/2021 0:14:01,English,25–30,Yes,2,Cats,"Friends, Family",3.0,No,We just remember,Twice a week,"Cleaning kitchen, Laundry, Buying common items",We don't really think about it,Alone,Yes,Likely,Likely,Neutral,Likely,Likely
84,84,84,19/01/2021 0:22:04,English,More than 37,No,,,,,,,,,,,,,,,,
85,85,85,19/01/2021 0:25:29,English,More than 37,No,,,,,,,,,,,,,,,,
86,86,86,19/01/2021 0:27:17,English,More than 37,Yes,4,Dogs,"Friends, Family",2.0,No,We don't schedule our tasks,Twice a week,"Cleaning bathroom/toilets, Throwing the garbage, Laundry",Split the cost,All together,No,,,,,
87,87,87,19/01/2021 1:03:37,English,18–24,No,,,,,,,,,,,,,,,,
88,88,88,19/01/2021 1:04:33,English,18–24,Yes,3,No pets,"Friends, Family",3.0,Yes,,,,,,,,,,,
89,89,89,19/01/2021 1:06:19,English,18–24,Yes,3,Cats,"Friends, Family",5.0,No,We just remember,Twice a month,"Cleaning bathroom/toilets, Cleaning living-room, Laundry",We don't really think about it,Alone,Yes,Neutral,Very likely,Likely,Likely,Likely
90,90,90,19/01/2021 3:27:41,English,31–37,Yes,4,No pets,"Friends, Family",3.0,No,We just remember,Twice a week,"Cleaning living-room, Cleaning kitchen, Throwing the garbage, Buying common items",We don't really think about it,Alone,No,,,,,
91,91,91,19/01/2021 3:30:56,English,18–24,Yes,4,No pets,"Friends, Family",4.0,Yes,,,,,,,,,,,
92,92,92,19/01/2021 4:36:22,English,25–30,Yes,4,Dogs,People I met on app,3.0,Yes,,,,,,,,,,,
93,93,93,19/01/2021 5:35:53,English,More than 37,Yes,3,Dogs,"Friends, Family",3.0,No,We just remember,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Buying common items",Split the cost,Alone,No,,,,,
94,94,94,19/01/2021 7:09:29,English,25–30,Yes,4,No pets,People I met on app,3.0,Yes,,,,,,,,,,,
95,95,95,19/01/2021 7:16:33,English,More than 37,Yes,2,No pets,"Friends, Family",4.0,No,Spreadsheet,Once a week,"Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,No,,,,,
96,96,96,19/01/2021 7:17:05,English,25–30,Yes,2,No pets,Partner,4.0,Yes,,,,,,,,,,,
97,97,97,19/01/2021 7:24:52,English,31–37,No,,,,,,,,,,,,,,,,
98,98,98,19/01/2021 7:25:36,English,25–30,No,,,,,,,,,,,,,,,,
99,99,99,19/01/2021 7:35:38,English,18–24,Yes,3,No pets,People I met on app,3.0,No,Spreadsheet,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen",Split the cost,Alone,Yes,Likely,Likely,Likely,Very likely,Very likely
100,100,100,19/01/2021 8:00:16,English,More than 37,Yes,3,Dogs,People I met on app,3.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning kitchen, Throwing the garbage, Buying common items",We don't really think about it,Alone,No,,,,,
101,101,101,19/01/2021 8:08:34,English,18–24,Yes,4,Cats,"Friends, Family",4.0,Yes,,,,,,,,,,,
102,102,102,19/01/2021 8:36:09,English,25–30,Yes,2,Cats,"Friends, Family",4.0,No,We just remember,Twice a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Buy it in turns,Alone,No,,,,,
103,103,103,19/01/2021 8:43:34,English,25–30,No,,,,,,,,,,,,,,,,
104,104,104,19/01/2021 9:09:15,English,25–30,Yes,3,No pets,"Friends, Family",3.0,Yes,,,,,,,,,,,
105,105,105,19/01/2021 9:26:07,English,25–30,Yes,3,No pets,"Friends, Family",3.0,Yes,,,,,,,,,,,
106,106,106,19/01/2021 10:50:43,English,31–37,Yes,2,No pets,"Friends, Family",4.0,No,We just remember,Never,"Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry",Split the cost,All together,No,,,,,
107,107,107,19/01/2021 11:15:45,English,31–37,No,,,,,,,,,,,,,,,,
