,Unnamed: 0,Unnamed: 0.1,Marca de temps,Language,How old are you?,Do you share your flat?,How many people do live in the house? ,What kind of animals live in the house?,What kind of relationship do you have with your flatmates?,How satisfied are you with the cleanliness of the house?,Do you outsource the house tasks?,Which tool do you use to schedule your tasks?,How often do you rotate the home tasks?,What kind of tasks are you responsible of?,"How do you deal with the shared expenses? (toilet paper, cleaning products, etc)",Do you rather cleaning alone or all together?,Would you use an app to manage the house tasks?,How likely you are to use this features? [Setting up tasks/shifts/house rules],How likely you are to use this features? [Tracking common expenses],How likely you are to use this features? [Receiving reports of each roommate's contribution],How likely you are to use this features? [Receiving notifications / reviewing task calendar],How likely you are to use this features? [Managing shopping list for household products]
167,167,167,19/01/2021 7:18:13,French,25–30,No,,,,,,,,,,,,,,,,
168,168,168,19/01/2021 9:14:15,French,31–37,No,,,,,,,,,,,,,,,,
169,169,169,19/01/2021 9:25:26,French,18–24,No,,,,,,,,,,,,,,,,
170,170,170,19/01/2021 10:32:27,French,More than 37,No,,,,,,,,,,,,,,,,
171,171,171,19/01/2021 11:01:50,French,25–30,Yes,2,Cats,"Friends, Family",4.0,No,We just remember,Never,"Cleaning kitchen, Laundry, Buying common items",We don't really think about it,Alone,No,,,,,
172,172,172,19/01/2021 11:04:33,French,25–30,No,,,,,,,,,,,,,,,,
173,173,173,19/01/2021 14:06:41,French,More than 37,No,,,,,,,,,,,,,,,,
174,174,174,19/01/2021 14:36:11,French,18–24,No,,,,,,,,,,,,,,,,
175,175,175,19/01/2021 15:13:08,French,31–37,Yes,3,Cats,"Friends, Family",3.0,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",Buy it in turns,Alone,Yes,Neutral,Likely,Likely,Very likely,Very unlikely
176,176,176,19/01/2021 18:04:27,French,25–30,No,,,,,,,,,,,,,,,,
177,177,177,20/01/2021 0:50:29,French,25–30,Yes,4,No pets,Acquaintances,3.0,No,We don't schedule our tasks,Never,"Cleaning kitchen, Buying common items",Split the cost,Alone,No,,,,,
178,178,178,20/01/2021 2:11:47,French,25–30,Yes,3,No pets,People I met on app,3.0,Yes,,,,,,,,,,,
179,179,179,20/01/2021 15:25:07,French,25–30,Yes,5,No pets,"Friends, Family",5.0,Yes,,,,,,,,,,,
180,180,180,18/01/2021 21:42:32,Spanish,More than 37,No,,,,,,,,,,,,,,,,
181,181,181,18/01/2021 22:07:52,Spanish,25–30,Si,3,No pets,"Friends, Family",5.0,Si,,,,,,,,,,,
182,182,182,18/01/2021 22:14:02,Spanish,25–30,No,,,,,,,,,,,,,,,,
183,183,183,18/01/2021 22:22:12,Spanish,More than 37,Si,4,Dogs,Acquaintances,2.0,No,We just remember,Once a week,Cleaning living-room,Buy it in turns,Solo,Yes,Very likely,Very likely,Very likely,Very likely,Very likely
184,184,184,18/01/2021 22:50:57,Spanish,25–30,No,,,,,,,,,,,,,,,,
185,185,185,18/01/2021 23:45:07,Spanish,25–30,No,,,,,,,,,,,,,,,,
186,186,186,19/01/2021 9:43:17,Spanish,18–24,Si,4,No pets,People I met on app,4.0,Si,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",We don't really think about it,Alone,Yes,Very likely,Very likely,Very likely,Very unlikely,Very likely
187,187,187,19/01/2021 14:06:41,Spanish,25–30,Yes,3,No pets,People I met on app,3.0,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Throwing the garbage, Laundry, Buying common items",We don't really think about it,All together,No,Very likely,Very likely,Neutral,Likely,Very likely
188,188,188,19/01/2021 14:36:11,Spanish,25–30,Yes,2,Dogs,People I met on app,2.0,No,White board on the fridge door,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",We don't really think about it,All together,No,Neutral,Very likely,Neutral,Likely,Very likely
189,189,189,19/01/2021 15:13:08,Spanish,18–24,No,,,,,,,,,,,,,,,,
190,190,190,19/01/2021 18:04:27,Spanish,More than 37,Si,3,Cats,"Friends, Family",5.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, ",Split the cost,Alone,Yes,Likely,Likely,Neutral,Very likely,Neutral
191,191,191,20/01/2021 0:50:29,Spanish,25–30,No,,,,,,,,,,,,,,,,
192,192,192,20/01/2021 2:11:47,Spanish,25–30,Si,2,Cats,Partner,3.0,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,Yes,Neutral,Neutral,Likely,Very likely,Very likely
193,193,193,20/01/2021 15:25:07,Spanish,25–30,No,,,,,,,,,,,,,,,,
194,194,194,20/01/2021 15:25:10,Spanish,More than 37,No,,,,,,,,,,,,,,,,
